topics weight,topic
0.00854036,0
0.00644676,1
0.00164999,2
0.0115982,3
0.00713804,4
0.0118026,5
0.0087984,6
0.0138808,7
0.0100758,8
0.00578484,9
0.0041121,10
0.0242694,11
0.00795851,12
0.00862308,13
0.0183393,14
0.0128893,15
0.00543137,16
0.00942913,17
0.0149243,18
0.0109129,19
0.0119403,20
0.00479646,21
0.0171659,22
0.00447857,23
0.0067403,24
0.00737126,25
0.00715292,26
0.010929,27
0.00368592,28
0.00571149,29
0.00658197,30
0.00493432,31
0.0152214,32
0.00723434,33
0.00666111,34
0.00569263,35
0.00750712,36
0.0366898,37
0.00898268,38
0.00717229,39
0.00632495,40
0.00186608,41
0.0105068,42
0.00802464,43
0.00915335,44
0.00858128,45
0.0053231,46
0.00876848,47
0.0164578,48
0.00786311,49
0.00938897,50
0.00963314,51
0.0025838,52
0.00781791,53
0.00491741,54
0.0160938,55
0.005718,56
0.00360242,57
0.0441325,58
0.0128931,59
0.00412631,60
0.0111905,61
0.0205383,62
0.00900668,63
0.0104635,64
0.0071258,65
0.00394853,66
0.0166524,67
0.0097469,68
0.00527924,69
0.012937,70
0.00581117,71
0.0043027,72
0.00328546,73
0.00809336,74
0.00771112,75
0.0292113,76
0.0132192,77
0.0152123,78
0.00448976,79
0.00700576,80
0.0028109,81
0.011138,82
0.00214007,83
0.0475827,84
0.0215005,85
0.0149131,86
0.00845161,87
0.0130219,88
0.00680638,89
0.00864879,90
0.00705363,91
0.00630904,92
0.00880674,93
0.00438533,94
0.00414685,95
0.00454337,96
0.0114141,97
0.00825656,98
0.00980742,99
